rt	0	71
for	1000000	47
we	1000001	26
in	10000100	69
party	100001010	11
saturday	1000010110	5
best	1000010111	5
days	1000011	12
lol	10001000000	17
someone	10001000000	5
some	10001000000	9
see	10001000001	11
:)	10001000001	19
good	10001000001	19
through	10001000001	5
so	1000100001	34
3	10001000100	18
&lt;	10001000100	20
down	10001000101	5
come	10001000101	8
here	10001000101	9
today	1000100011	42
or	10001001000	12
'm	10001001000	19
give	10001001000	6
think	10001001000	9
i	10001001001	168
before	10001001010	10
stop	10001001010	5
need	10001001011	10
gonna	10001001011	8
one	10001001100	17
day	10001001101	60
up	10001001110	23
earlier	10001001111	5
looking	10001001111	6
my	1000101000	53
n't	10001010010	24
driving	10001010010	5
do	10001010011	22
people	10001010100	10
say	10001010100	11
great	10001010100	5
hate	10001010100	5
why	10001010100	6
well	10001010101	10
being	10001010110	5
every	10001010110	5
life	10001010110	9
its	10001010111	18
and	10001011	100
u	10001100000	13
got	10001100000	17
like	10001100000	22
last	10001100001	11
they	10001100001	17
later	10001100001	5
which	10001100001	5
more	10001100001	6
right	10001100001	6
no	10001100001	9
there	10001100010	12
if	10001100010	18
you	10001100011	83
tonight	1000110010	37
with	10001100110	33
your	10001100111	13
go	10001100111	16
where	10001100111	6
live	10001100111	7
can	10001101000	14
tv	10001101001	5
let	10001101001	7
hope	10001101001	8
call	1000110101	6
next	1000110110	14
week	1000110111	27
still	10001110000	5
our	10001110000	6
photo	10001110001	6
out	10001110010	30
us	10001110011	5
check	10001110011	6
this	100011101	40
2	10001111000	14
he	10001111000	14
make	10001111000	5
man	10001111000	6
been	10001111001	10
has	10001111001	10
all	10001111010	19
that	10001111011	36
when	100011111	48
friday	10010000	19
who	100100010	9
follow	100100011	8
me	1001001	36
love	10010100	12
she	10010101	11
back	1001011	16
were	1001100	7
yeah	1001101	7
sleep	100111000	7
god	100111001	6
few	100111010	6
really	1001110110	5
tired	1001110111	6
:d	1001111	7
just	10100000	36
mom	1010000100	5
took	10100001010	5
home	10100001011	7
&	101000011	11
are	101000100	19
into	10100010100	5
:(	10100010101	5
happy	10100010110	6
only	10100010111	5
try	10100011000	5
oh	10100011000	6
better	10100011001	6
:	10100011001	7
from	1010001101	12
get	101000111	26
tomorrow	10100100	21
what	101001010	17
coming	1010010110	7
4	10100101110	7
over	10100101111	5
wait	10100101111	5
is	1010011	65
against	10101000000	5
off	10101000001	7
work	1010100001	12
of	101010001	64
know	1010100100	17
going	10101001010	11
as	10101001010	12
by	10101001010	14
kids	10101001010	5
something	10101001010	5
school	10101001010	6
should	10101001010	6
about	10101001011	15
the	101010011	165
years	1010101000	11
ago	1010101001	6
did	1010101010	10
because	10101010110	5
movie	10101010111	5
long	10101011	10
place	1010110000	5
til	1010110001	5
now	101011001	23
to	10101101	127
went	10101110000	6
then	10101110000	8
will	10101110001	19
be	1010111001	35
most	10101110100	6
his	10101110101	5
way	10101110101	5
'll	1010111011	11
pope	1010111100	5
sunday	1010111101	11
on	101011111	66
bieber	1011000000	5
justin	1011000001	6
getting	101100001	7
6	10110001	6
after	1011001	26
at	101101	38
new	10111000	5
twitter	10111001	5
big	1011101	7
an	101111	14
want	1100000	12
but	1100001	25
im	1100010	12
her	11000110	18
bad	110001110	5
even	110001111	5
not	1100100	19
's	1100101	51
it	110011	95
a	110100	125
was	110101	25
time	1101100	38
again	11011010	7
show	11011011	11
old	11011100	5
how	11011101	7
year	11011110	10
first	110111110	9
've	110111111	9
had	1110000	8
1	11100010	6
too	111000110	6
am	111000111	6
may	111001	9
have	11101	35
night	111100	12
haha	111101	5
via	111110	5
2010	111111	7
