rt	0	71
for	1000000	47
we	1000001	26
in	10000100	69
party	100001010	11
best	100001011	5
saturday	100001011	5
days	1000011	12
see	100010000	11
lol	100010000	17
:)	100010000	19
good	100010000	19
so	100010000	34
someone	100010000	5
through	100010000	5
some	100010000	9
3	100010001	18
&lt;	100010001	20
today	100010001	42
down	100010001	5
come	100010001	8
here	100010001	9
before	100010010	10
need	100010010	10
or	100010010	12
i	100010010	168
'm	100010010	19
stop	100010010	5
give	100010010	6
gonna	100010010	8
think	100010010	9
one	100010011	17
up	100010011	23
earlier	100010011	5
looking	100010011	6
day	100010011	60
do	100010100	22
n't	100010100	24
driving	100010100	5
my	100010100	53
people	100010101	10
well	100010101	10
say	100010101	11
its	100010101	18
being	100010101	5
every	100010101	5
great	100010101	5
hate	100010101	5
why	100010101	6
life	100010101	9
and	10001011	100
last	100011000	11
there	100011000	12
u	100011000	13
got	100011000	17
they	100011000	17
if	100011000	18
like	100011000	22
later	100011000	5
which	100011000	5
more	100011000	6
right	100011000	6
you	100011000	83
no	100011000	9
your	100011001	13
go	100011001	16
with	100011001	33
tonight	100011001	37
where	100011001	6
live	100011001	7
can	100011010	14
tv	100011010	5
call	100011010	6
let	100011010	7
hope	100011010	8
next	100011011	14
week	100011011	27
out	100011100	30
still	100011100	5
us	100011100	5
check	100011100	6
our	100011100	6
photo	100011100	6
this	100011101	40
been	100011110	10
has	100011110	10
2	100011110	14
he	100011110	14
all	100011110	19
that	100011110	36
make	100011110	5
man	100011110	6
when	100011111	48
friday	10010000	19
who	100100010	9
follow	100100011	8
me	1001001	36
love	10010100	12
she	10010101	11
back	1001011	16
were	1001100	7
yeah	1001101	7
sleep	100111000	7
god	100111001	6
few	100111010	6
really	100111011	5
tired	100111011	6
:d	1001111	7
just	10100000	36
mom	101000010	5
took	101000010	5
home	101000010	7
&	101000011	11
are	101000100	19
:(	101000101	5
into	101000101	5
only	101000101	5
happy	101000101	6
from	101000110	12
try	101000110	5
better	101000110	6
oh	101000110	6
:	101000110	7
get	101000111	26
tomorrow	10100100	21
what	101001010	17
over	101001011	5
wait	101001011	5
4	101001011	7
coming	101001011	7
is	1010011	65
work	101010000	12
against	101010000	5
off	101010000	7
of	101010001	64
going	101010010	11
as	101010010	12
by	101010010	14
about	101010010	15
know	101010010	17
kids	101010010	5
something	101010010	5
school	101010010	6
should	101010010	6
the	101010011	165
years	101010100	11
ago	101010100	6
did	101010101	10
because	101010101	5
movie	101010101	5
long	10101011	10
place	101011000	5
til	101011000	5
now	101011001	23
to	10101101	127
will	101011100	19
be	101011100	35
went	101011100	6
then	101011100	8
'll	101011101	11
his	101011101	5
way	101011101	5
most	101011101	6
sunday	101011110	11
pope	101011110	5
on	101011111	66
bieber	101100000	5
justin	101100000	6
getting	101100001	7
6	10110001	6
after	1011001	26
at	101101	38
new	10111000	5
twitter	10111001	5
big	1011101	7
an	101111	14
want	1100000	12
but	1100001	25
im	1100010	12
her	11000110	18
bad	110001110	5
even	110001111	5
not	1100100	19
's	1100101	51
it	110011	95
a	110100	125
was	110101	25
time	1101100	38
again	11011010	7
show	11011011	11
old	11011100	5
how	11011101	7
year	11011110	10
first	110111110	9
've	110111111	9
had	1110000	8
1	11100010	6
too	111000110	6
am	111000111	6
may	111001	9
have	11101	35
night	111100	12
haha	111101	5
via	111110	5
2010	111111	7
